Lattice,Lattice,Lattice,Lattice-woC,Lattice-woC,Lattice-woC,Lattice-woP&C,Lattice-woP&C,Lattice-woP&C,Lattice-woP,Lattice-woP,Lattice-woP
cpuUtilization,ramUtilization,bwUtilization,cpuUtilization,ramUtilization,bwUtilization,cpuUtilization,ramUtilization,bwUtilization,cpuUtilization,ramUtilization,bwUtilization
10.173731666666669,10.178703,7.5556,26.45060966666666,26.44769633333333,6.4432,6.927961333333333,6.935654833333333,6.083600000000001,6.005269000000001,6.009055333333334,6.178799999999999
63.18072133333334,63.16402333333333,91.9462,87.08517966666666,87.06776383333333,96.80640000000001,23.395591000000003,23.389028,97.41159999999999,6.082533333333334,6.084507666666667,96.256
62.41998933333334,62.4137245,58.53320000000001,85.940434,85.9425525,67.1456,26.31761366666667,26.3067885,67.0146,15.402542666666667,15.388825333333335,65.702
96.46167866666667,96.46822433333334,78.215,99.61873500000002,99.63512633333333,80.0696,91.30475533333335,91.32810916666668,77.91060000000002,32.796397666666664,32.79736883333333,73.8956
98.680678,98.70519016666667,13.959800000000001,99.50366966666667,99.51759483333333,14.1994,97.48403766666665,97.524904,14.168400000000002,75.29021900000001,75.32422433333333,13.958999999999998
99.844799,99.84848749999999,9.4374,99.97493970000001,99.98508145000001,9.9576,99.820752,99.84146905,10.0046,97.36078979999999,97.39167814999999,9.436399999999999
99.99192660000001,99.98894955,10.385200000000001,99.99925010000001,99.9909466,10.572399999999998,99.9911809,99.9911486,10.7012,99.97735639999999,99.96682795000001,9.9008
99.98837510000001,99.98564674999999,4.1638,99.98032040000001,99.98296144999999,4.263000000000001,99.9844477,99.96919275,4.303800000000001,99.96928790000001,99.95888015,4.1537999999999995
98.96954950000001,98.96495519999999,0.7438,99.8625731,99.85012635000001,0.8140000000000001,99.9670864,99.95906175,0.634,99.88572679999999,99.87945184999998,0.6698000000000001
99.99236849999998,99.97312929999998,7.5556,99.99801339999999,99.9741425,6.4432,99.9886979,99.97451344999999,6.083600000000001,99.9680324,99.95379329999999,6.178799999999999
,,8.6928,,,11.2438,,,5.2871999999999995,,,4.3858
,,7.262600000000001,,,5.7822000000000005,,,2.8558,,,3.7522000000000006
,,99.71499999999999,,,99.91219999999998,,,99.92219999999999,,,99.73499999999999
,,15.2334,,,13.8326,,,15.263799999999998,,,14.8168
,,11.6968,,,11.542000000000002,,,11.864199999999999,,,12.345600000000001
,,8.7798,,,8.810799999999999,,,9.2678,,,9.362
,,2.4840000000000004,,,2.6008,,,2.519,,,2.4865999999999997
,,13.5774,,,15.5534,,,15.2778,,,13.517
,,91.9462,,,96.80640000000001,,,97.41159999999999,,,96.256
,,8.6928,,,11.2438,,,5.2871999999999995,,,4.3858
,,99.99679999999998,,,100.0,,,100.0,,,99.9984
,,99.54019999999998,,,99.99340000000001,,,99.982,,,99.6856
,,29.9492,,,28.891,,,28.878799999999995,,,28.9766
,,14.261000000000001,,,15.1264,,,14.985799999999998,,,15.088799999999997
,,14.900199999999998,,,15.207400000000002,,,14.911599999999998,,,15.2974
,,5.733200000000001,,,5.630000000000001,,,5.610999999999999,,,5.872000000000001
,,1.954,,,3.1509999999999994,,,2.6559999999999997,,,2.9364
,,58.53320000000001,,,67.1456,,,67.0146,,,65.702
,,7.262600000000001,,,5.7822000000000005,,,2.8558,,,3.7522000000000006
,,99.99679999999998,,,100.0,,,100.0,,,99.9984
,,86.74119999999999,,,83.5384,,,84.90126474117929,,,85.83720000000001
,,9.7848,,,9.8438,,,9.871599999999999,,,9.732800000000001
,,12.367999999999999,,,12.442599999999999,,,12.5334,,,12.6808
,,9.704999999999998,,,10.020399999999999,,,10.2526,,,10.2662
,,2.7332,,,2.8470000000000004,,,2.8514000000000004,,,2.85
,,7.312799999999998,,,7.0451999999999995,,,6.9244,,,6.807600000000001
,,78.215,,,80.0696,,,77.91060000000002,,,73.8956
,,99.71499999999999,,,99.91219999999998,,,99.92219999999999,,,99.73499999999999
,,99.54019999999998,,,99.99340000000001,,,99.982,,,99.6856
,,86.74119999999999,,,83.5384,,,84.90126474117929,,,85.83720000000001
,,41.542199999999994,,,39.5532,,,36.6102,,,33.0278
,,32.872,,,31.649400000000004,,,32.05740000000001,,,31.893400000000003
,,23.446400000000004,,,20.941200000000002,,,20.6154,,,21.2868
,,10.1598,,,9.8242,,,9.2106,,,8.958
,,7.969800000000001,,,9.1998,,,8.5572,,,7.3427999999999995
,,13.959800000000001,,,14.1994,,,14.168400000000002,,,13.958999999999998
,,15.2334,,,13.8326,,,15.263799999999998,,,14.8168
,,29.9492,,,28.891,,,28.878799999999995,,,28.9766
,,9.7848,,,9.8438,,,9.871599999999999,,,9.732800000000001
,,41.542199999999994,,,39.5532,,,36.6102,,,33.0278
,,9.9456,,,13.6564,,,18.184199999999997,,,11.1262
,,8.8894,,,11.6558,,,8.9476,,,7.6777999999999995
,,6.523000000000001,,,6.896599999999999,,,7.484599999999999,,,5.479999999999999
,,2.1670000000000003,,,1.8738,,,2.5771999999999995,,,1.4716
,,9.4374,,,9.9576,,,10.0046,,,9.436399999999999
,,11.6968,,,11.542000000000002,,,11.864199999999999,,,12.345600000000001
,,14.261000000000001,,,15.1264,,,14.985799999999998,,,15.088799999999997
,,12.367999999999999,,,12.442599999999999,,,12.5334,,,12.6808
,,32.872,,,31.649400000000004,,,32.05740000000001,,,31.893400000000003
,,9.9456,,,13.6564,,,18.184199999999997,,,11.1262
,,11.995399999999998,,,12.6582,,,14.3132,,,5.6776
,,8.3734,,,10.016000000000002,,,10.5374,,,3.5100000000000002
,,4.7421999999999995,,,5.2904,,,3.5684000000000005,,,1.9352
,,10.385200000000001,,,10.572399999999998,,,10.7012,,,9.9008
,,8.7798,,,8.810799999999999,,,9.2678,,,9.362
,,14.900199999999998,,,15.207400000000002,,,14.911599999999998,,,15.2974
,,9.704999999999998,,,10.020399999999999,,,10.2526,,,10.2662
,,23.446400000000004,,,20.941200000000002,,,20.6154,,,21.2868
,,8.8894,,,11.6558,,,8.9476,,,7.6777999999999995
,,11.995399999999998,,,12.6582,,,14.3132,,,5.6776
,,18.2416,,,34.9272,,,5.658599999999999,,,1.034
,,2.5944000000000003,,,5.571799999999999,,,1.0104,,,0.868
,,4.1638,,,4.263000000000001,,,4.303800000000001,,,4.1537999999999995
,,2.4840000000000004,,,2.6008,,,2.519,,,2.4865999999999997
,,5.733200000000001,,,5.630000000000001,,,5.610999999999999,,,5.872000000000001
,,2.7332,,,2.8470000000000004,,,2.8514000000000004,,,2.85
,,10.1598,,,9.8242,,,9.2106,,,8.958
,,6.523000000000001,,,6.896599999999999,,,7.484599999999999,,,5.479999999999999
,,8.3734,,,10.016000000000002,,,10.5374,,,3.5100000000000002
,,18.2416,,,34.9272,,,5.658599999999999,,,1.034
,,2.3928000000000003,,,4.845199999999999,,,0.8318,,,0.3296
,,0.7438,,,0.8140000000000001,,,0.634,,,0.6698000000000001
,,13.5774,,,15.5534,,,15.2778,,,13.517
,,1.954,,,3.1509999999999994,,,2.6559999999999997,,,2.9364
,,7.312799999999998,,,7.0451999999999995,,,6.9244,,,6.807600000000001
,,7.969800000000001,,,9.1998,,,8.5572,,,7.3427999999999995
,,2.1670000000000003,,,1.8738,,,2.5771999999999995,,,1.4716
,,4.7421999999999995,,,5.2904,,,3.5684000000000005,,,1.9352
,,2.5944000000000003,,,5.571799999999999,,,1.0104,,,0.868
,,2.3928000000000003,,,4.845199999999999,,,0.8318,,,0.3296
