,Lattice,Diktyo,TanGo,Delay-first
CPU Util,92.00954744615385,99.62765804615384,98.06708910769231,67.60614672307692
RAM Util,92.00617352307692,99.6238899923077,98.0573439,67.60307806153847
BW Util,22.871475555555556,29.179586666666673,26.244270459829387,45.12345152144739
