Batch,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,Fail
1,22.15533703933292,0.15044791937451257,27.117293887100324,25.25160471115199,4.484192845287849,0.900737867183907,0.777784998700234,0.6682797096522625,0.24325621388150132,0.13255114079465696,18.118513667539844
2,27.68773769606409,0.08068851532631716,22.358970127496356,25.893437150722747,4.382434057704666,0.8572435883010405,0.7464500303800887,0.6426576451555637,0.23533941935274155,0.1369229345915441,16.978118834904848
3,24.909237646200474,0.08872597889665959,26.721111585848814,24.17989061043773,4.422906344244804,0.886085437795618,0.7664515355266216,0.6432446073544368,0.235794723415313,0.13122749680801357,17.015324033471508
4,24.862187790703494,0.08852390145339242,23.952967301171316,24.836355816070345,4.422694127414402,0.8454032588798975,0.7613055524991748,0.651800986266292,0.23516349414341878,0.15419163174056996,19.189406139657706
5,22.12133431257228,0.1332165617723533,19.07727961697169,21.60539269494766,3.7155030340199984,0.736369747102495,0.6718881443921998,0.5443764729319462,0.2047292980841584,0.16832219450685376,31.021587922698366
6,2.692264438107758,27.378011141128457,4.255721136904926,2.6457056172979887,4.795383604197541,0.31639005445607643,0.4326996368761855,0.3447052149378091,0.1077875438285196,0.46603805177700747,56.56529356048774
7,0.33125559794141735,41.57236908047133,1.1819024333669728,0.3455362193667554,5.955061656405959,0.420065814620313,0.5618326139825938,0.4325530337308156,0.13456105265207538,0.571502640924726,48.49335985653703
8,0.04744780673014302,42.282958577036176,0.1610010686450592,0.07208412685495556,7.390320055616715,0.6470847584299382,0.5999123893764606,0.4547429935332509,0.14299353245707577,0.41749975264194905,47.78395493867829
9,0.03502767186077001,11.95632049318962,0.08884518769828165,0.01858968585182294,47.89851482671311,0.7064080623692718,0.8469941253590336,0.628546551775903,0.2796959598082485,0.08689364598032447,37.45416378939361
10,0.01214627599597896,1.1988201686216804,0.01479733282334866,0.01421876748554933,34.388401363593914,22.096382907874908,6.139470761036226,0.7334525530872332,0.48887718886807974,0.12576294183232656,34.78766973878076
