,Lattice,Lattice-woC,Lattice-woP&C,Lattice-woP
CPU Util,92.00954744615385,95.29149001538461,88.21248501538462,82.74373566153847
RAM Util,92.00617352307692,95.28715053846155,88.21242014615385,82.74335782307692
BW Util,22.871475555555556,23.818773333333333,22.778084023268388,21.737817777777778
