Batch,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,Fail
1,27.090498710232158,0.021421144194045068,27.038907996560617,27.313958487472252,6.120148373292809,0.8498970185366634,1.1584914715351236,0.9055619988402089,0.3301905656981743,0.07926073306804773,9.091663500569897
2,27.59484713689543,0.016002680448975203,27.337278994231532,26.92998577261691,6.034210730297325,0.8822977848789673,1.1348900940907605,0.8917243638309417,0.33500611352401527,0.07756299180112669,8.766193337384014
3,26.95003510560415,0.016940640296236327,27.080837837095004,27.657244372484193,6.180960019589176,0.8712936102803202,1.1380712156533515,0.8855357415028197,0.3335157325577619,0.08297915401740538,8.80258657091957
4,26.903313894751584,0.13581166915067067,26.824367579246392,26.97005691536715,6.183869644804099,1.0546347513828733,1.174942234403289,0.8971922419053143,0.33631580526742216,0.10715393156152161,9.412341332159684
5,16.326854363296068,14.178735499884898,16.595888422927946,16.019687127801188,5.814508622501576,1.5186462222133257,0.9134947404241691,0.682693943731046,0.26770790587811394,0.18688759220521853,27.49489555913645
6,0.07002566608103683,61.71420431400088,0.06745156058269752,0.06855117846548324,11.615113747972579,1.5505361886744358,1.0137227313508554,0.7486648389684584,0.22979514618670013,0.4946531080449543,22.427281519671915
7,0.00320430378052399,48.453898763349535,0.0004756387954201811,0.001026378288358115,24.895910422054076,2.4078837847239933,1.0990510347670943,0.7819000956603928,0.25679487541813023,0.48402504958549486,21.61582965357698
8,0.0,0.4695206747171171,0.0,0.0,58.10756055346012,22.404004882294675,1.414539833721849,1.003296549378208,0.4119686252538693,0.12613428311306313,16.06297459806109
9,0.0,0.0016763242961939935,0.0,0.0,0.10398214589525727,5.957156153361155,28.345392860359688,18.442444531179632,22.879074468830375,0.797580088269733,23.472693427807975
10,0.0,0.00035005425841005353,0.0,0.0,0.00017502712920502677,0.013927158709599988,0.034930414214203204,12.09227430251689,11.999734958918634,32.87317034140291,42.985437742850145
