Batch,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,Fail
1,24.289477893979083,0.12622727908976386,25.272425963326594,25.23523265812154,4.432227199104161,0.871568117738807,0.7732108220520308,0.6578315903137436,0.2371823071847068,0.13290107780599494,17.971715091283567
2,25.589686272450635,0.09884155596062341,24.891169270852867,25.251579639589632,4.3878349623561945,0.8811725964098986,0.7469751183323206,0.6492087424643628,0.2369646915858406,0.13097193779958144,17.13559521219804
3,25.123969007123566,0.10001973909415048,25.20644843723843,25.04151456320383,4.40951374365663,0.8797639304284383,0.7645275985018276,0.6409958497929893,0.2353199857078964,0.13784883851671953,17.460078306735532
4,24.52122072959699,0.09680113630680284,24.675487381593033,24.828278635231513,4.416517459714123,0.8572314524921728,0.7606303701999539,0.6479499464855512,0.23861442589499166,0.1479399437848219,18.809328518700045
5,22.400413359622874,1.2079759390669884,20.885195119754187,22.24685476364437,4.40300561488495,0.8026733257934403,0.7309609360143324,0.6084793770580404,0.22552120344699889,0.22782320618938473,26.261097154524435
6,2.8055503999351217,38.840712518689884,3.9748192170985206,2.252093569767568,6.413073061932314,0.42542726030632716,0.535788948044082,0.4351239020319261,0.13457826591660088,0.637903483486032,43.54492937279162
7,0.10186174939856756,56.03197292365,0.07264752930809613,0.05685132290099458,6.472864821022222,0.5816308394018972,0.6870723946898711,0.5219256852324246,0.16246811344229628,0.7295544268180032,34.58115019413563
8,0.009729572899262653,22.406656128380337,0.0040268926395405835,0.0023010815083089053,57.35615739397516,1.1175002251057997,1.0222804718217562,0.7891208868168038,0.3321311016177604,0.16515262173221415,16.79494362350305
9,0.0023518579677945578,4.296794467629428,0.0006505139059857287,0.0009007115621340858,32.44948509322365,29.569609991893593,17.016743227149448,1.4484692907396846,2.902467949680247,0.2535002652095155,12.05902663103852
10,0.00037505813401077166,1.6424045727087697,0.00010001550240287245,7.501162680215435e-05,0.2896198910831179,1.4967069895833855,14.311368262080624,25.819101960803927,27.996814506248473,7.50316299026349,20.940270741965005
