Batch,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,Fail
1,27.049381111399946,0.0,27.139414905317047,27.011137995160862,6.907531644304025,0.8498720230358534,1.2264292427363073,1.223579755643984,0.32856585814553385,0.0,8.264087464256434
2,27.272363321704034,0.0,27.26738774390198,27.33244888693637,6.718455394537905,0.8610948815060722,1.1939758905565974,1.2122289560089716,0.3291803839449011,0.0,7.812864540903166
3,26.844018679679476,0.0,26.660669979836136,26.560600268351738,6.726883396923201,0.8319903253452466,1.190542225420455,1.1838209389312406,0.32162230367721834,0.0,9.679851881835287
4,23.952998209811977,0.0,24.34457902853308,24.632781882501824,5.76398271760177,0.774234234670525,1.1390078149371037,1.1130507987906315,0.2941795026109095,0.0,17.985185810542173
5,19.781209652397585,1.484866834145707,19.40042837268424,19.35749101718495,3.3354268213345613,0.6172119744177433,0.919024551359683,0.8761372393982765,0.24128491787855438,0.0,33.986918619198704
6,0.0876717616932326,59.24238665185969,0.1565253908372761,0.1058902968217557,11.31696769645367,0.6978243504970535,1.3148250415817482,1.0623315632533559,0.28285858944234865,0.0,25.732718657559865
7,0.0,57.10082212834418,0.0,0.0,7.224125193625912,0.6513746332892161,1.2124029539356531,0.9562339831939892,0.2618265676300912,0.0,32.59321453998095
8,0.0,7.214717207447194,0.0,0.0,68.38478485561282,0.7800918517688942,1.4039102109129253,1.1108473937897119,0.2995908880678575,0.027637999426750985,20.778419592973844
9,0.0,0.0023018783497750295,0.0,0.0,8.642025264403028,31.455703972445683,27.841408374874856,1.9998936661488298,6.734653402523061,0.4320208455123448,22.891992595742412
10,0.0,0.0,0.0,0.0,0.0,0.0001500232536043087,0.07066111331288286,26.758188834756943,28.407800175258973,21.424644686896354,23.338555166521243
