Lattice,Lattice,Lattice,Diktyo,Diktyo,Diktyo,TanGo,TanGo,TanGo,Delay-first,Delay-first,Delay-first
cpuUtilization,ramUtilization,bwUtilization,cpuUtilization,ramUtilization,bwUtilization,cpuUtilization,ramUtilization,bwUtilization,cpuUtilization,ramUtilization,bwUtilization
10.173731666666669,10.178703,7.5556,93.65630133333335,93.66879433333334,6.538200000000001,58.35532966666667,58.329580666666665,1.3077999999999999,21.113864333333332,21.135305499999998,99.9824
63.18072133333334,63.16402333333333,91.9462,99.51661366666664,99.4865935,100.0,99.96494200000001,99.9813215,100.0,32.005493,32.01097433333333,100.0
62.41998933333334,62.4137245,58.53320000000001,99.64751000000001,99.6098395,83.9088,99.95649133333333,99.97912183333332,92.9482,32.01827,32.02824533333333,100.0
96.46167866666667,96.46822433333334,78.215,99.96070300000001,99.98375816666666,100.0,99.94882966666665,99.94552983333332,100.0,42.16071433333334,42.17921916666667,100.0
98.680678,98.70519016666667,13.959800000000001,99.35255299999999,99.39256900000001,27.019600000000004,99.96881500000002,99.98738433333334,15.156400000000001,75.546108,75.55741416666667,81.2560464837187
99.844799,99.84848749999999,9.4374,99.9684965,99.95515325,16.7796,99.9967479,99.97143895,17.3632,39.08432550000001,39.0975799,41.681999999999995
99.99192660000001,99.98894955,10.385200000000001,99.99996890000001,99.97594880000001,15.549600000000002,99.98653339999998,99.9858862,19.2912,99.71159119999999,99.69801945,34.324799999999996
99.98837510000001,99.98564674999999,4.1638,99.99666230000001,99.99039615000001,6.578200000000001,99.99921309999999,99.9708543,4.891800000000001,99.79527230000001,99.78766099999999,35.4444
98.96954950000001,98.96495519999999,0.7438,99.9841553,99.99978304999999,1.0151999999999999,99.99882260000001,99.9881877,0.0,40.27309669999999,40.268404,24.318600000000004
99.99236849999998,99.97312929999998,7.5556,99.99039,99.99153735000002,6.538200000000001,99.99643989999998,99.98948675,1.3077999999999999,99.7223331,99.69499549999999,99.9824
,,8.6928,,,10.5504,,,2.7594,,,99.99780000000001
,,7.262600000000001,,,7.460199999999999,,,1.6791999999999998,,,99.99980000000001
,,99.71499999999999,,,100.0,,,100.0,,,98.11699999999999
,,15.2334,,,90.7966,,,12.506800000000002,,,50.5736
,,11.6968,,,18.1914,,,20.996199999999995,,,25.972400000000004
,,8.7798,,,13.051400000000001,,,16.3376,,,16.9078
,,2.4840000000000004,,,4.3098,,,4.1818,,,17.2956
,,13.5774,,,16.1816,,,0.018600000000000002,,,13.374400000000003
,,91.9462,,,100.0,,,100.0,,,100.0
,,8.6928,,,10.5504,,,2.7594,,,99.99780000000001
,,99.99679999999998,,,100.0,,,100.0,,,100.0
,,99.54019999999998,,,100.0,,,100.0,,,100.0
,,29.9492,,,33.2862,,,18.9426,,,96.165
,,14.261000000000001,,,20.080399999999997,,,20.3852,,,47.5772
